ID de respuesta;Fecha;Hora;A1. Edad ;A2. Identidad de género;A2. Identidad de género  [Otro];A3. Nivel Estudio;A4. Nacionalidad y residencia;A4o. Nacionalidad y residencia [Otro];A5. Provincia de residencia ;A5a. País Extranjero;A5b. Provincia/estado Extranjero;A6. Ámbito Actividad;A6o. Ámbito Actividad [Otro];A7. Rol Principal;A7o. Rol Principal [Otro];A8. Rol Secundario;A8o. Rol Secundario [Otro];A9. Situación Laboral;A10. Años Experiencia
35;13-02-2026;18:37:20;de 25 a 34;Mujer;;Formación Profesional de Grado Medio (Ciclos Formativos de Grado Medio, FP I, Oficialía Industrial);Nacionalidad española y residencia en España.;;Barcelona;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Dibujante / Ilustradora;;Guionista;;Autónoma con clientes habituales;2-5 años
36;13-02-2026;18:28:42;de 25 a 34;Mujer;;Formación Profesional de Grado Superior (Ciclos Formativos de Grado Superior, FP II, Maestría Industrial);Nacionalidad española y residencia en España.;;La Coruña;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Dibujante / Ilustradora;;Dibujante / Ilustradora;;Autónoma con clientes habituales;Menos de 2 años
37;13-02-2026;18:33:58;de 45 a 54;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Madrid;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Guionista;;Guionista;;Freelance / Por proyectos puntuales;6-10 años
40;13-02-2026;18:54:15;de 35 a 44;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Burgos;;;Otro;Autoedición, industria editorial y aplicación de la ilustración a terceros.;Dibujante / Ilustradora;;Otro;ceramista, pintora, escultora.;Freelance / Por proyectos puntuales;6-10 años
46;13-02-2026;19:12:35;de 45 a 54;Mujer;;Bachillerato (Bachillerato LOGSE/LOE, BUP, COU, PREU);Nacionalidad española y residencia en España.;;Barcelona;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Editora / Responsable editorial;;Editora / Responsable editorial;;Asalariada con contrato indefinido;Más de 15 años
49;13-02-2026;19:41:15;de 25 a 34;Persona no binaria;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Barcelona;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Traductora;;Otro;Revisora;Asalariada con contrato indefinido;2-5 años
55;13-02-2026;21:01:39;de 35 a 44;Mujer;;Enseñanza Universitaria de Primer Ciclo o Grado (Diplomatura, Grado Universitario, Ingeniería/Arquitectura Técnica);Nacionalidad española y residencia en España.;;Barcelona;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Dibujante / Ilustradora;;Otro;Docente de dibujo.;Autónoma con clientes habituales;11-15 años
56;13-02-2026;20:35:01;de 25 a 34;Mujer;;Enseñanza Universitaria de Primer Ciclo o Grado (Diplomatura, Grado Universitario, Ingeniería/Arquitectura Técnica);Nacionalidad española y residencia en España.;;Córdoba;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Dibujante / Ilustradora;;Ninguno;;Freelance / Por proyectos puntuales;2-5 años
58;13-02-2026;20:42:31;de 25 a 34;Persona no binaria;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Valencia;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Traductora;;Ninguno;;Autónoma con clientes habituales;11-15 años
60;13-02-2026;20:57:56;de 25 a 34;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Zaragoza;;;Tercer Sector / Asociacionismo (ONGs, asociaciones profesionales).;;Autora integral;;Autora integral;;Freelance / Por proyectos puntuales;6-10 años
